#DESCRIPTION	F1	F2
1.87	9555715.16852944	-5186.901348804254
1.88	9525761.942715954	-5061.943317314453
1.89	9494856.148646304	-4936.946573267667
1.90	9463000.876874145	-4811.989235560118
1.91	9430199.312900105	-4687.149398460322
1.92	9396454.736853249	-4562.505082802768
1.93	9361770.523163062	-4438.134187227382
1.94	9326150.140222006	-4314.114439495464
1.95	9289597.150038693	-4190.523347912316
1.96	9252115.207881683	-4067.438152887121
1.97	9213708.061913954	-3944.935778660178
1.98	9174379.552818099	-3823.092785227744
1.99	9134133.613412252	-3701.985320494564
2.00	9092974.268256817	-3581.689072683869
2.01	9050905.633252008	-3462.279223034732
2.02	9007931.915226273	-3343.830398816232
2.03	8964057.411515597	-3226.416626687815
2.04	8919286.509533796	-3110.111286435099
2.05	8873623.686333755	-2994.98706510982
2.06	8827073.50815974	-2881.115911602859
2.07	8779640.629990781	-2768.568991678495
2.08	8731329.795075165	-2657.416643498114
2.09	8682145.834456127	-2547.728333661171
2.10	8632093.666488737	-2439.572613790796
2.11	8581178.296348089	-2333.017077691298
2.12	8529404.815528762	-2228.128319104192
2.13	8476778.401335698	-2124.97189008934
2.14	8423304.316366456	-2023.612260056966
2.15	8368987.907984978	-1924.11277547646
2.16	8313834.607786831	-1826.535620286827
2.17	8257849.93105608	-1730.941777033793
2.18	8201039.476213742	-1637.39098875767
2.19	8143408.92425796	-1545.94172165593
2.20	8084964.038195901	-1456.6511285437
2.21	8025710.662467472	-1369.575013135146
2.22	7965654.722360865	-1284.767795167947
2.23	7904802.223420048	-1202.282476392744
2.24	7843159.250844198	-1122.170607448749
2.25	7780731.968879212	-1044.482255646307
2.26	7717526.620201257	-969.2659736764214
2.27	7653549.525292535	-896.568769266935
2.28	7588807.081809218	-826.4360758041988
2.29	7523305.763941707	-758.9117239387216
2.30	7457052.121767201	-694.0379141923936
2.31	7390052.780594708	-631.8551905845832
2.32	7322314.440302514	-572.4024152934054
2.33	7253843.874668196	-515.7167443681443
2.34	7184647.930691263	-461.8336045079341
2.35	7114733.527908443	-410.7866709212116
2.36	7044107.657701762	-362.6078462798221
2.37	6972777.382599378	-317.3272407808741
2.38	6900749.835569364	-274.9731533288641
2.39	6828032.219306397	-235.5720538497558
2.40	6754631.80551151	-199.1485667481702
2.41	6680555.934164911	-165.725455517905
2.42	6605812.012792007	-135.3236085155129
2.43	6530407.515722648	-107.9620259057451
2.44	6454349.983343706	-83.65780778707754
2.45	6377647.021345036	-62.42614350469522
2.46	6300306.299958922	-44.28030215765488
2.47	6222335.553193047	-29.23162430612691
2.48	6143742.578057118	-17.2895148839125
2.49	6064535.233783147	-8.461437320667621
2.50	5984721.441039566	-2.752908877503013
2.51	5904309.181139126	-0.1674971988752105
2.52	5823306.495240819	-0.7068180829244985
2.53	5741721.483545723	-4.370534471653809
2.54	5659562.304487028	-11.15635666157966
2.55	5576837.173914166	-21.06004373472137
2.56	5493554.364271265	-34.07540620903704
2.57	5409722.203769886	-50.19430990664819
2.58	5325349.075556211	-69.4066810374372
2.59	5240443.416872761	-91.70051249483669
2.60	5155013.718214641	-117.0618713598826
2.61	5069068.522480534	-145.4749076088297
2.62	4982616.424118386	-176.9218640189108
2.63	4895666.068265995	-211.3830872660055
2.64	4808226.149886482	-248.8370402073537
2.65	4720305.412898826	-289.2603153415385
2.66	4631912.649303452	-332.6276494374408
2.67	4543056.698303064	-378.9119393229146
2.68	4453746.445418712	-428.0842588234029
2.69	4363990.821601263	-480.1138768398438
2.70	4273798.802338297	-534.9682765546165
2.71	4183179.40675659	-592.6131757534864
2.72	4092141.696720173	-653.0125482508759
2.73	4000694.775924195	-716.1286464050564
2.74	3908847.788984522	-781.9220247092046
2.75	3816609.920523317	-850.3515644435411
2.76	3723990.394250553	-921.3744993732159
2.77	3630998.472041683	-994.9464424757881
2.78	3537643.453011427	-1071.021413681698
2.79	3443934.67258390	-1149.551868610273
2.80	3349881.501559047	-1230.48872828348
2.81	3255493.34517560	-1313.781409798614
2.82	3160779.642170538	-1399.377857941029
2.83	3065749.863835229	-1487.224577716924
2.84	2970413.513068324	-1577.266667785967
2.85	2874780.123425444	-1669.447854772867
2.86	2778859.258165868	-1763.710528436379
2.87	2682660.509296179	-1859.995777673854
2.88	2586193.496611109	-1958.243427338724
2.89	2489467.866731526	-2058.392075848067
2.90	2392493.292139824	-2160.379133556526
2.91	2295279.470212642	-2264.140861872866
2.92	2197836.122251169	-2369.612413094474
2.93	2100172.992508992	-2476.727870935088
2.94	2002299.847217705	-2585.420291720311
2.95	1904226.473610271	-2695.62174622525
2.96	1805962.678942329	-2807.263362128048
2.97	1707518.289511453	-2920.275367052858
2.98	1608903.149674558	-3034.587132175296
2.99	1510127.120863438	-3150.127216363178
3.00	1411200.080598672	-3266.823410824871
3.01	1312131.921501838	-3384.602784237469
3.02	1212932.550306298	-3503.391728326465
3.03	1113611.886866496	-3623.116003868563
3.04	1014179.863166019	-3743.700787088722
3.05	914646.4223243674	-3865.070716422658
3.06	815021.5176026912	-3987.149939615278
3.07	715315.1114084326	-4109.862161125951
3.08	615537.1742991315	-4233.130689810678
3.09	515697.6839853464	-4356.8784868516
3.10	415806.6243329049	-4481.028213903735
3.11	315873.984364539	-4605.502281428915
3.12	215909.7572609596	-4730.222897186755
3.13	115923.9393615828	-4855.112114852218
3.14	15926.52916486828	-4980.091882729605
